[2022-05-09 07:34:02.824] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/calibration/calibration/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/calibration camera_left_rear.yaml camera_right_rear.yaml robosense-ruby128.yaml uss_front_right_mid.yaml uss_rear_right_mid.yaml camera_front_far.yaml camera_rear_fisheye.yaml gnss_rtk.yaml tf.yaml uss_front_right_side.yaml uss_rear_right_side.yaml camera_front_fisheye.yaml camera_rear_mid_down.yaml imu.yaml uss_front_left_corner.yaml uss_rear_left_corner.yaml uss_set.yaml camera_front_wide.yaml camera_rear_mid_up.yaml lidar_navi.yaml uss_front_left_mid.yaml uss_rear_left_mid.yaml vehicle_info.yaml camera_left_fisheye.yaml camera_right_fisheye.yaml lidar.yaml uss_front_left_side.yaml uss_rear_left_side.yaml vehicle.yaml camera_left_front.yaml camera_right_front.yaml params_config.yaml uss_front_right_corner.yaml uss_rear_right_corner.yaml wheel.yaml
[2022-05-09 07:34:02.831] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:02.831] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide calibration.json parameter.json
[2022-05-09 07:34:02.837] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:02.837] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_left_front calibration.json parameter.json
[2022-05-09 07:34:02.842] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:02.842] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_right_front calibration.json parameter.json
[2022-05-09 07:34:02.849] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:02.849] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide_perception/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide result_all_boxes.json result_all_lines.json
[2022-05-09 07:34:10.442] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:10.442] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front_perception/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_left_front result_all_boxes.json result_all_lines.json
[2022-05-09 07:34:15.898] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:15.898] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front_perception/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_right_front result_all_boxes.json result_all_lines.json
[2022-05-09 07:34:21.400] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:21.400] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_4_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_4_16.avi
[2022-05-09 07:34:21.496] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:21.496] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_14_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_14_16.avi
[2022-05-09 07:34:21.688] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:21.688] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_2_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_2_16.avi
[2022-05-09 07:34:21.777] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:21.777] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_3_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_3_16.avi
